,0,1,Fecha registrada,OSF
167,0.34712285,0.26069996,2021-04-29 12:16:17.520000,"Plan Cuatro Ciénegas 2040, A.C."
168,0.34712285,0.26069996,2021-04-29 12:20:27.280000,"PROMOCIÓN DE PAZ, A.B.P."
169,0.2606157,0.21693817,2021-04-29 12:23:01.468000,Reapropia
170,0.34712285,0.26069996,2021-04-29 12:27:03.742000,Casa Monarca Ayuda Humanitaria al Migrante A.B.P.
171,0.34712285,0.26069996,2021-04-29 12:39:15.428000,Pal Sur del Norte
172,0.34712285,0.26069996,2021-04-29 12:42:58.623000,"Zamora Coaching INC, A.C."
173,0.34712285,0.26069996,2021-04-29 12:47:45.306000,"Zamora Coaching INC, A.C."
174,0.34712285,0.26069996,2021-04-29 12:50:01.249000,"Fundación El Mundo Escribe, A.C."
175,0.34712285,0.26069996,2021-04-29 12:55:04.070000,"Viccali, Vida con Calidad, A.C."
176,0.2681204,1.0185093,2021-04-29 12:55:33.219000,"Plan Cuatro Ciénegas 2040, A.C."
177,0.34712285,0.26069996,2021-04-29 13:14:17.755000,"Zamora Coaching INC, A.C."
178,0.34712285,0.26069996,2021-04-29 13:15:56.753000,"Comedor Infantil Mensajero de Paz - Esperanza al Débil, A.C."
179,0.34712285,0.26069996,2021-04-29 13:35:18.820000,"Comedor Infantil Mensajero de Paz - Esperanza al Débil, A.C."
180,0.34712285,0.26069996,2021-04-29 13:40:57.882000,"TEDI, Taller de Expresión y Desarrollo Integral, A.C."
181,0.34712285,0.26069996,2021-04-29 13:45:27.156000,"Plan Cuatro Ciénegas 2040, A.C."
182,0.2656561,0.75578344,2021-04-29 14:08:19.226000,DIF Nuevo León
183,0.34712285,0.26069996,2021-04-29 14:14:01.077000,"MARCO, Museo de Arte Contemporáneo"
184,0.34712285,0.26069996,2021-04-29 14:18:19.107000,"Fundación Rolivel, A.C."
185,0.34712285,0.26069996,2021-04-29 14:21:42.790000,"Zamora Coaching INC, A.C."
186,0.34712285,0.26069996,2021-04-29 14:33:47.355000,"TEDI, Taller de Expresión y Desarrollo Integral, A.C."
187,0.34712285,0.26069996,2021-04-29 14:56:38.122000,"Casa Paterna La Gran Familia, A.C."
188,0.34712285,0.26069996,2021-04-29 15:06:12.877000,Reapropia
189,0.34712285,0.26069996,2021-04-29 15:11:16.917000,Zihuame Mochilla A.C.
190,0.34712285,0.26069996,2021-04-29 15:25:14.490000,"CIDEPO, Centro de Investigación y Desarrollo de Políticas Públicas, A.C."
191,0.34712285,0.26069996,2021-04-29 15:34:28.077000,"TEDI, Taller de Expresión y Desarrollo Integral, A.C."
192,0.34712285,0.26069996,2021-04-29 15:35:38.815000,"Comedor Infantil Mensajero de Paz - Esperanza al Débil, A.C."
193,0.34712285,0.26069996,2021-04-29 15:43:51.147000,"PROMOCIÓN DE PAZ, A.B.P."
194,0.34712285,0.26069996,2021-04-29 15:47:54.411000,Reapropia
195,0.34712285,0.26069996,2021-04-29 15:55:00.044000,"Comedor Infantil Mensajero de Paz - Esperanza al Débil, A.C."
196,0.34712285,0.26069996,2021-04-29 16:09:36.751000,"TEDI, Taller de Expresión y Desarrollo Integral, A.C."
197,0.26065814,0.22150365,2021-04-29 16:31:10.279000,"CIDEPO, Centro de Investigación y Desarrollo de Políticas Públicas, A.C."
198,0.34712285,0.26069996,2021-04-29 16:41:29.485000,"Plan Cuatro Ciénegas 2040, A.C."
199,0.34712285,0.26069996,2021-04-29 16:42:20.021000,"Blooders.org, A.C."
200,0.34712285,0.26069996,2021-04-29 16:47:18.658000,"PROMOCIÓN DE PAZ, A.B.P."
201,0.34712285,0.26069996,2021-04-29 17:00:34.727000,"Fundación Rolivel, A.C."
202,0.34712285,0.26069996,2021-04-29 17:08:25.724000,"PROMOCIÓN DE PAZ, A.B.P."
203,0.34712285,0.26069996,2021-04-29 17:10:58.894000,"Zamora Coaching INC, A.C."
204,0.34712285,0.26069996,2021-04-29 17:36:32.909000,"Plan Cuatro Ciénegas 2040, A.C."
205,0.34712285,0.26069996,2021-04-29 17:39:50.493000,Reapropia
206,0.34712285,0.26069996,2021-04-29 17:57:12.369000,"CIDEPO, Centro de Investigación y Desarrollo de Políticas Públicas, A.C."
207,0.34712285,0.26069996,2021-04-29 18:09:17.114000,"MARCO, Museo de Arte Contemporáneo"
208,0.34712285,0.26069996,2021-04-29 18:11:53.554000,"Zamora Coaching INC, A.C."
209,0.34712285,0.26069996,2021-04-29 18:14:38.798000,"Plan Cuatro Ciénegas 2040, A.C."
210,0.34712285,0.26069996,2021-04-29 18:16:30.624000,"Plan Cuatro Ciénegas 2040, A.C."
211,0.34712285,0.26069996,2021-04-29 18:18:42.315000,"Casa Paterna La Gran Familia, A.C."
212,0.34712285,0.26069996,2021-04-29 18:44:58.948000,"FICAE, Fundación Internacional de Cabalgantes y Actividades Ecuestres A. C."
213,0.34712285,0.26069996,2021-04-29 18:46:35.673000,"CIDEPO, Centro de Investigación y Desarrollo de Políticas Públicas, A.C."
214,0.34712285,0.26069996,2021-04-29 18:49:01.290000,"MARCO, Museo de Arte Contemporáneo"
215,0.34712285,0.26069996,2021-04-29 18:55:37.733000,"Casa Paterna La Gran Familia, A.C."
216,0.34712285,0.26069996,2021-04-29 18:57:12.708000,"CIDEPO, Centro de Investigación y Desarrollo de Políticas Públicas, A.C."
217,0.34712285,0.26069996,2021-04-29 19:03:38.292000,"VIFAC, Vida y Familia Monterrey, A.B.P."
218,0.34712285,0.26069996,2021-04-29 19:07:02.011000,"Plan Cuatro Ciénegas 2040, A.C."
219,0.34712285,0.26069996,2021-04-29 19:07:41.933000,"Casa Paterna La Gran Familia, A.C."
220,0.26067436,0.2232031,2021-04-29 19:15:04.188000,"CIDEPO, Centro de Investigación y Desarrollo de Políticas Públicas, A.C."
221,0.34712285,0.26069996,2021-04-29 19:37:45.069000,"Plan Cuatro Ciénegas 2040, A.C."
222,0.34712285,0.26069996,2021-04-29 19:39:21.424000,"Fundación El Mundo Escribe, A.C."
223,0.34712285,0.26069996,2021-04-29 19:39:57.278000,"CIDEPO, Centro de Investigación y Desarrollo de Políticas Públicas, A.C."
224,0.34712285,0.26069996,2021-04-29 19:39:58.168000,"Fundación El Mundo Escribe, A.C."
225,0.34712285,0.26069996,2021-04-29 19:48:28.202000,"VIFAC, Vida y Familia Monterrey, A.B.P."
226,0.34712285,0.26069996,2021-04-29 19:48:30.914000,"MARCO, Museo de Arte Contemporáneo"
227,0.34712285,0.26069996,2021-04-29 19:54:14.264000,León Ortigosa ABP
228,0.34712285,0.26069996,2021-04-29 19:57:33.906000,"Plan Cuatro Ciénegas 2040, A.C."
229,0.34712285,0.26069996,2021-04-29 20:00:17.835000,"Plan Cuatro Ciénegas 2040, A.C."
230,0.34712285,0.26069996,2021-04-29 20:07:21.177000,"Plan Cuatro Ciénegas 2040, A.C."
231,0.34712285,0.26069996,2021-04-29 20:07:47.365000,"Fundación Rolivel, A.C."
232,0.34712285,0.26069996,2021-04-29 20:08:47.391000,"Plan Cuatro Ciénegas 2040, A.C."
233,0.34712285,0.26069996,2021-04-29 20:10:35.715000,"MARCO, Museo de Arte Contemporáneo"
234,0.34712285,0.26069996,2021-04-29 20:15:39.413000,"VIFAC, Vida y Familia Monterrey, A.B.P."
235,0.34712285,0.26069996,2021-04-29 20:16:23.121000,"Plan Cuatro Ciénegas 2040, A.C."
236,0.34712285,0.26069996,2021-04-29 20:18:43.134000,Zihuame Mochilla A.C.
237,0.34712285,0.26069996,2021-04-29 20:25:07.154000,"Blooders.org, A.C."
238,0.34712285,0.26069996,2021-04-29 20:26:20.492000,"Asociación de Espina Bífida de Nuevo León, A.B.P."
239,0.26051527,0.20617762,2021-04-29 20:28:04.062000,"PROMOCIÓN DE PAZ, A.B.P."
240,0.34712285,0.26069996,2021-04-29 20:54:44.951000,"Blooders.org, A.C."
241,0.34712285,0.26069996,2021-04-29 20:58:09.609000,Zihuame Mochilla A.C.
242,0.34712285,0.26069996,2021-04-29 21:05:04.675000,"Asociación de Espina Bífida de Nuevo León, A.B.P."
243,0.34712285,0.26069996,2021-04-29 21:05:11.602000,"Corporación de Desarrollo Integral GAON, S.A. de C.V."
244,0.34712285,0.26069996,2021-04-29 21:07:47.355000,"Blooders.org, A.C."
245,0.2693411,1.1511539,2021-04-29 21:11:01.860000,"Asociación de Espina Bífida de Nuevo León, A.B.P."
246,0.34712285,0.26069996,2021-04-29 21:14:16.278000,"Asociación de Espina Bífida de Nuevo León, A.B.P."
247,0.2626444,0.43335763,2021-04-29 21:16:50.673000,"Blooders.org, A.C."
248,0.34712285,0.26069996,2021-04-29 21:24:35.633000,"Plan Cuatro Ciénegas 2040, A.C."
249,0.34712285,0.26069996,2021-04-29 21:31:38.970000,"CIDEPO, Centro de Investigación y Desarrollo de Políticas Públicas, A.C."
250,0.34712285,0.26069996,2021-04-29 21:33:09.115000,Casa Monarca Ayuda Humanitaria al Migrante A.B.P.
251,0.34712285,0.26069996,2021-04-29 21:34:45.161000,FUNDACION PRO BIENESTAR AL ANCIANO AC
252,0.34712285,0.26069996,2021-04-29 21:45:14.723000,Casa Monarca Ayuda Humanitaria al Migrante A.B.P.
253,0.34712285,0.26069996,2021-04-29 21:46:10.475000,"MARCO, Museo de Arte Contemporáneo"
254,0.34712285,0.26069996,2021-04-29 21:46:41.337000,Reapropia
255,0.34712285,0.26069996,2021-04-29 21:48:04.349000,"CIDEPO, Centro de Investigación y Desarrollo de Políticas Públicas, A.C."
256,0.34712285,0.26069996,2021-04-29 22:03:12.512000,"Plan Cuatro Ciénegas 2040, A.C."
257,0.34712285,0.26069996,2021-04-29 22:03:25.817000,Climate Science Ltd
258,0.34712285,0.26069996,2021-04-29 22:14:22.008000,"Zamora Coaching INC, A.C."
259,0.34712285,0.26069996,2021-04-29 22:20:22.078000,"Fundación El Mundo Escribe, A.C."
260,0.34712285,0.26069996,2021-04-29 22:23:56.071000,"CIDEPO, Centro de Investigación y Desarrollo de Políticas Públicas, A.C."
261,0.34712285,0.26069996,2021-04-29 22:25:42.776000,León Ortigosa ABP
262,0.34712285,0.26069996,2021-04-29 22:31:30.942000,"Plan Cuatro Ciénegas 2040, A.C."
263,0.34712285,0.26069996,2021-04-29 22:31:56.686000,"Zamora Coaching INC, A.C."
264,0.34712285,0.26069996,2021-04-29 22:38:55.839000,"Plan Cuatro Ciénegas 2040, A.C."
